title,body,labels
"F1.1 Allow new users to register with a username, email and password","## Requirements

- [ ] F1.1.1 The system shall reject usernames that are already in use.
- [ ] F1.1.2 The system shall reject emails that are not in a valid format (e.g. must contain @ and domain)
- [ ] F1.1.3 The system shall reject emails that are already registered to another account.
- [ ] F1.1.4 The system shall reject passwords that do not contain at least 8 characters, one uppercase letter, one lowercase letter, one digit, and one special character.
- [ ] F1.1.5 The system shall send an OTP to the provided email and only complete registration after the OTP is verified.
- [ ] F1.1.6 The system shall allow the user to request a new OTP email 60 seconds after the previous email was sent out, up to 5 times.
- [ ] F1.1.7 The system shall invalidate the OTP after one use OR after 10 minutes OR after a new OTP is generated, whichever comes first.
- [ ] F1.1.8 The system shall reserve the username and email during this OTP period to prevent duplicate emails/usernames.","user-service"
"F1.2 Store user login information securely","## Requirements

- [ ] F1.2.1 The system shall store passwords as salted hashes.","user-service"
"F2.1 Allow existing users to login with their username/email and password","## Requirements

- [ ] F2.1.1 The system shall accept login attempts where the username/email and password matches a registered account.
- [ ] F2.1.2 The system shall reject login attempts where the username/email and password does not match a registered account.
- [ ] F2.1.3 The system shall authenticate subsequent requests from a logged-in user without requiring them to re-enter credentials for the duration of the session.","user-service"
"F2.2 Allow logged in users to log out","## Requirements

- [ ] F2.2.1 The system shall ensure that users who have logged out must log in again to access the app.","user-service"
"F2.3 Support authorisation for inter-service communication","## Requirements

- [ ] F2.3.1 The system shall allow other services to verify a user's identity and role from their active session.","user-service"
"F3.1 Allow users to request a password reset using their registered email","## Requirements

- [ ] F3.1.1 If the email matches a registered email, the system shall send an OTP to the email before permitting the password change.
- [ ] F3.1.2 If the email does not match a registered email, the system shall not send an OTP to the email.
- [ ] F3.1.3 The system shall reject the new password if it does not meet the complexity rules specified in F1.1.4.
- [ ] F3.1.4 The system shall invalidate the OTP after one use or after 10 minutes or a new OTP is generated, whichever comes first.","user-service"
"F4.1 Allow users to view their profile information","## Requirements

- [ ] F4.1.1 The system shall allow users to view their username and their registered email.","user-service"
"F4.2 Allow users to change their registered email","## Requirements

- [ ] F4.2.1 The system shall reject the new email if it is already in use by another user or the same as the old email or does not meet complexity rules in F1.1.2.
- [ ] F4.2.2 The system shall ask the user to enter their password and reject the email change if the password does not match the current account password.
- [ ] F4.2.3 The system shall send an OTP to the new email and require the user to enter it before allowing the email change.
- [ ] F4.2.4 The system shall allow the user to request a new OTP email 60 seconds after the previous email was sent out, up to 5 times.
- [ ] F4.2.5 The system shall invalidate the OTP after one use or after 10 minutes or a new OTP is generated, whichever comes first.
- [ ] F4.2.6 The system shall use the existing email for all communications and authentication until the OTP verification is completed.","user-service"
"F4.3 Allow users to change their password","## Requirements

- [ ] F4.3.1 The system shall ask the user to enter their password and reject the password change if the password does not match the current account password.
- [ ] F4.3.2 The system shall send an OTP to the registered email and require the user to enter it before allowing the password change.
- [ ] F4.3.3 The system shall reject the new password if it does not meet the complexity rules specified in F1.1.4, or is identical to the old password.
- [ ] F4.3.4 The system shall invalidate any active sessions on other devices after a successful password change.","user-service"
"F4.4 Allow users to change their username","## Requirements

- [ ] F4.4.1 The system shall reject the new username if it is already in use by another user or it is the same as the old username.","user-service"
"F5.1 Support user/administrator/super administrator role management","## Requirements

- [ ] F5.1.1 The system shall enforce administrative privilege separation by managing users, administrators, and super administrators independently.
- [ ] F5.1.2 On application startup, if the super administrator does not exist, the system shall bootstrap a super administrator using pre-configured system credentials.
- [ ] F5.1.3 The system shall prevent registration of an administrator account via public user registration endpoints.
- [ ] F5.1.4 The system shall prevent a standard user account from modifying the role of any user (including himself).
- [ ] F5.1.5 The system shall prevent an administrator user account from modifying the role of any user (including himself).
- [ ] F5.1.6 The system shall allow a super administrator user account to modify the role of any other user (excluding himself) either to administrator or to standard user.","user-service"
"F5.2 Support requestor/courier role management","## Requirements

- [ ] F5.2.1 All users can post and fulfill errands without restriction.
- [ ] F5.2.2 The system shall persist the user's last active view (requestor / courier) across sessions.","user-service"
"F5.3 Support user management for administrators","## Requirements

- [ ] F5.3.1 The system shall allow administrators to view all users.
- [ ] F5.3.2 The system shall allow administrators to view transaction details of individual users.
- [ ] F5.3.3 The system shall allow administrators to suspend / unsuspend individual users.","user-service"
